name,sourceBand,category,reason,suggestedKeyword
周记生煎,骑行 10 分钟内,早餐类,当前只保留旧地址线索未取得稳定高德 POI 或坐标,周记生煎 船山店
峡江佬烧烤,骑行 10 分钟内,夜宵类,目标分店或门牌未确认,峡江佬烧烤 裘家场住宅区店
英姐小吃,骑行 10 分钟内,夜宵类,店名泛化重名风险高,英姐小吃 水煮 南昌
思烤家鹤岗小串,骑行 10 分钟内,夜宵类,桃花路店和桃苑路店名称线索冲突需确认,思烤家鹤岗小串 桃花路店
文武酒家,骑行 10 分钟内,中晚餐,未取得稳定高德 POI 或坐标,文武酒家 南昌
大树下饭店,骑行 10 分钟内,中晚餐,店名泛化重名风险高,大树下饭店 南昌
英子家庭菜馆,骑行 10 分钟内,中晚餐,未取得稳定高德 POI 或坐标,英子家庭菜馆 南昌
顺记菜馆,骑行 10 分钟内,中晚餐,店名泛化重名风险高,顺记菜馆 南昌
饶记牛魔王辣味馆,骑行 10 分钟内,中晚餐,未取得稳定高德 POI 或坐标,饶记牛魔王辣味馆 南昌
鄱湖岛饭庄,骑行 10 分钟内,中晚餐,未取得稳定高德 POI 或坐标且文档标注价格偏高需确认是否上线,鄱湖岛饭庄 南昌
邓伙妹臭豆腐,骑行 10 分钟内,下午加餐,当前只保留旧地址线索未取得稳定高德 POI 或坐标,邓伙妹臭豆腐 南浦路24中对面店
黄记瓦罐汤,骑行 15 分钟内,早餐类,未取得稳定高德 POI 或坐标,黄记瓦罐汤 广场东路
恒茂汤店,骑行 15 分钟内,早餐类,未取得稳定高德 POI 或坐标,恒茂汤店 广场东路
浪琴汤店,骑行 15 分钟内,早餐类,未取得稳定高德 POI 或坐标,浪琴汤店 南昌
南翔包子店,骑行 15 分钟内,早餐类,店名泛化重名风险高,南翔包子店 小笼包 南昌
老字号眼镜子煎包汤包店,骑行 15 分钟内,早餐类,未取得稳定高德 POI 或坐标,老字号眼镜子煎包汤包店 南昌
小平夫妻粽子,骑行 15 分钟内,下午加餐,未取得稳定高德 POI 或坐标,小平夫妻粽子 南昌
胖子水煮店,骑行 15 分钟内,下午加餐,重名或区域线索不稳定,胖子水煮店 南昌
小吴水煮,骑行 15 分钟内,下午加餐,店名泛化重名风险高,小吴水煮 南昌
小敖臭豆腐,骑行 15 分钟内,下午加餐,未取得稳定高德 POI 或坐标,小敖臭豆腐 南昌
眼镜子生煎,骑行 15 分钟内,下午加餐,未取得稳定高德 POI 或坐标,眼镜子生煎 南昌
天天大饼,骑行 15 分钟内,下午加餐,当前只保留旧地址线索未取得稳定高德 POI 或坐标,天天大饼 象山南路312号
夫妻切糕店,骑行 15 分钟内,下午加餐,当前只保留旧地址线索未取得稳定高德 POI 或坐标,缘夫妻切糕店 西上谕亭街14号
徐军老汤店,骑行 15 分钟内,夜宵类,未取得稳定高德 POI 或坐标,徐军老汤店 南昌
王辉鸭三宝,骑行 15 分钟内,夜宵类,未取得稳定高德 POI 或坐标,王辉鸭三宝 南昌
福旺财南京老鸭泡粉,骑行 15 分钟内,夜宵类,当前只保留旧地址线索未取得稳定高德 POI 或坐标,福旺财南京老鸭泡粉 船山路店
姐妹快餐,骑行 15 分钟内,中晚餐,店名泛化重名风险高,姐妹快餐 红烧肉 南昌
羊子两室一厅,骑行 15 分钟内,中晚餐,未取得稳定高德 POI 或坐标,羊子两室一厅 南昌
佳佳麻辣烧菜馆,骑行 15 分钟内,中晚餐,当前只保留旧地址线索未取得稳定高德 POI 或坐标,佳佳麻辣烧菜馆 蓼洲街店
